corpus,domain,scenario_id,arm,cached,category,item,desc_match,question_match,answer_match,output_match,gaps_match,label,label_field,label_exact
generic_questions_v1,semiconductor_work,S04,generic,no,actors,process engineer,none,scatter,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,actors,quality engineer,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,actors,customer interface owner,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,actors,manager,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,systems,issue tracking system,none,none,none,scatter,scatter,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,systems,experiment log,none,scatter,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,systems,risk report template,field,field,exact,exact,exact,carried,carried,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,systems,collaboration tool,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,inputs,defect description,none,none,exact,exact,scatter,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,inputs,sample or lot context,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,inputs,initial evidence,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,inputs,customer impact assumption,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,outputs,issue report,field,none,field,scatter,scatter,carried,lost,missed
generic_questions_v1,semiconductor_work,S04,generic,no,outputs,root-cause hypothesis,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,outputs,experiment plan,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,outputs,improvement action,none,exact,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,outputs,customer risk summary,none,none,exact,exact,scatter,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S04,generic,no,decisions,Is the issue customer-impacting?,none,none,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,decisions,Does the experiment support the root-cause hypothesis?,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,exceptions,insufficient evidence,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,exceptions,unclear owner,none,none,none,none,scatter,missed,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,exceptions,experiment delay,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S04,generic,no,exceptions,conflicting root-cause hypotheses,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S04,generic,no,automation_targets,A1: Register defect issue with initial evidence,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S04,generic,no,automation_targets,A3: Notify related teams and assign owners,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S04,generic,no,automation_targets,A8: Share final report and action items,none,field,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Collect document and related change list,none,scatter,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Compare feature changes with document content,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Check terminology and formatting consistency,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Record comments and requested revisions,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Revise document based on comments,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Confirm revisions with feature owner,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,activities,Approve final document,none,field,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,actors,document reviewer,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,actors,feature owner,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,actors,document author,none,exact,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,actors,approver,none,exact,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,systems,document repository,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,systems,change request tracker,none,field,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,systems,review checklist,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,systems,commenting tool,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,inputs,specification document,exact,exact,exact,exact,exact,carried,carried,carried
generic_questions_v1,semiconductor_work,S05,generic,no,inputs,feature change list,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,inputs,previous document version,none,field,exact,exact,field,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,inputs,review checklist,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,outputs,review comments,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,outputs,change request list,none,field,exact,exact,field,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,outputs,approval decision,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S05,generic,no,outputs,updated document,none,none,exact,field,none,recovered,recovered,dropped
generic_questions_v1,semiconductor_work,S05,generic,no,decisions,Are all feature changes reflected?,field,scatter,field,field,none,carried,carried,missed
generic_questions_v1,semiconductor_work,S05,generic,no,decisions,Are the revisions acceptable?,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,exceptions,missing change list,none,scatter,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,exceptions,conflicting terminology,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S05,generic,no,exceptions,unclear feature owner,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,exceptions,unresolved comments,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S05,generic,no,automation_targets,A2: Compare feature changes with document content,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S05,generic,no,automation_targets,A3: Check terminology and formatting consistency,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S05,generic,no,automation_targets,A4: Record comments and requested revisions,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Prepare agenda and issue summary,none,scatter,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Schedule meeting with vendor,field,field,field,field,none,carried,carried,missed
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Discuss improvement options,field,none,scatter,field,none,carried,carried,missed
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Record decisions and open questions,none,none,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Assign action-item owners and due dates,none,field,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Share meeting summary,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S06,generic,no,activities,Track action-item progress,none,none,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S06,generic,no,actors,equipment engineer,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,actors,vendor representative,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,actors,meeting organizer,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,actors,action-item owner,field,field,exact,exact,field,carried,carried,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,actors,manager,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,systems,calendar system,none,none,none,exact,none,unsupported,unsupported,unsupported
generic_questions_v1,semiconductor_work,S06,generic,no,systems,meeting notes,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,systems,action-item tracker,field,field,exact,exact,exact,carried,carried,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,systems,shared document repository,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,inputs,improvement request,none,none,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,inputs,equipment issue summary,none,scatter,exact,field,none,recovered,recovered,dropped
generic_questions_v1,semiconductor_work,S06,generic,no,inputs,meeting agenda,none,none,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S06,generic,no,inputs,vendor proposal,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,outputs,meeting minutes,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,outputs,action-item list,field,field,exact,exact,field,carried,carried,recovered
generic_questions_v1,semiconductor_work,S06,generic,no,outputs,owner and due date assignments,none,field,exact,field,none,recovered,recovered,dropped
generic_questions_v1,semiconductor_work,S06,generic,no,outputs,updated improvement proposal,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,decisions,Is the proposed improvement technically feasible?,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,decisions,Are action items clearly owned?,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S06,generic,no,exceptions,agenda not prepared,none,none,field,scatter,none,recovered,dropped,missed
generic_questions_v1,semiconductor_work,S06,generic,no,exceptions,vendor proposal incomplete,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,exceptions,unclear owner,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,exceptions,missed follow-up deadline,none,none,none,scatter,none,unsupported,missed,missed
generic_questions_v1,semiconductor_work,S06,generic,no,automation_targets,A2: Schedule meeting with vendor,field,field,field,field,none,carried,carried,missed
generic_questions_v1,semiconductor_work,S06,generic,no,automation_targets,A4: Record decisions and open questions,none,none,field,none,none,dropped,dropped,missed
generic_questions_v1,semiconductor_work,S06,generic,no,automation_targets,A7: Track action-item progress,none,none,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Collect meeting notes or transcript,none,field,field,exact,none,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Extract decisions and action items,none,field,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Confirm unclear items with decision owners,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Draft summary email,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Attach or link supporting materials,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Send email to relevant recipients,none,none,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,activities,Update task tracker if needed,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,actors,meeting participant,none,field,field,field,none,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,actors,minute taker,none,none,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,actors,decision owner,none,field,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,actors,recipient,none,exact,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,systems,calendar system,none,exact,exact,exact,exact,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,systems,meeting transcript or notes,none,field,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,systems,email client,none,none,none,exact,none,unsupported,unsupported,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,systems,task tracker,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,inputs,meeting agenda,none,field,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,inputs,meeting notes or transcript,none,field,field,exact,scatter,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,inputs,participant list,none,scatter,exact,exact,none,recovered,recovered,recovered
generic_questions_v1,semiconductor_work,S07,generic,no,inputs,action-item list,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,outputs,meeting summary email,field,field,field,exact,field,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,outputs,decision list,none,scatter,field,field,scatter,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,outputs,action-item assignments,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,outputs,task tracker updates,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,decisions,Are all action items assigned to owners?,none,scatter,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,decisions,Does the meeting require task tracking?,none,scatter,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,exceptions,missing transcript,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,exceptions,unclear decision owner,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,exceptions,recipient list incomplete,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,exceptions,confidential content included,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S07,generic,no,automation_targets,A2: Extract decisions and action items,none,field,field,exact,field,recovered,recovered,unsupported
generic_questions_v1,semiconductor_work,S07,generic,no,automation_targets,A4: Draft summary email,none,field,field,field,field,recovered,recovered,missed
generic_questions_v1,semiconductor_work,S07,generic,no,automation_targets,A7: Update task tracker if needed,none,none,none,none,none,missed,missed,missed
generic_questions_v1,semiconductor_work,S08,generic,no,activities,Collect meeting time and participant count,none,scatter,scatter,scatter,scatter,recovered,missed,missed
generic_questions_v1,semiconductor_work,S08,generic,no,activities,Check room availability,field,exact,field,exact,none,carried,carried,unsupported
generic_questions_v1,semiconductor_work,S08,generic,no,activities,Select room matching capacity and equipment needs,none,none,field,scatter,field,recovered,dropped,missed
